;id;nazev;typ;adresa1;adresa2;adresa3;PSC;obec;kraj;obor_kod;obor_nazev;obor_forma;obor_delka;obor_kapacita;okres;kod_okresu_a;kod_okresu_b;nazev_ulice;cislo_popisne;Zeměpisná šířka;Zeměpisná délka;kategorie
69;558991;Střední škola;C00;Křenová 304/36;Trnitá;602 00 Brno;60200.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;512.0;Brno-město;CZ0642;40711;Křenová;304/36;49.191422;16.620159;gymnázium
70;559016;Střední škola;C00;Slovanské náměstí 1804/7;Královo Pole;612 00 Brno;61200.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;630.0;Brno-město;CZ0642;40711;Slovanské náměstí;1804/7;49.222665;16.591428;gymnázium
71;559032;Střední škola;C00;třída Kpt. Jaroše 1829/14;Černá Pole;658 70 Brno;65870.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;420.0;Brno-město;CZ0642;40711;třída Kpt. Jaroše;1829/14;49.202058;16.611319;gymnázium
72;566381;Střední škola;C00;Kotlářská 263/9;Veveří;611 53 Brno;61153.0;Brno;Jihomoravský kraj;6341M02;Obchodní akademie;10;40;920.0;Brno-město;CZ0642;40711;Kotlářská;263/9;49.205495;16.596627;obchodní akademie a veřejnosprávní činnost
73;48513423;Střední škola;C00;Bzenecká 4226/23;Židenice;628 00 Brno;62800.0;Brno;Jihomoravský kraj;6643M01;Knihkupecké a nakladatelské činnosti;10;40;100.0;Brno-město;CZ0642;40711;Bzenecká;4226/23;49.207487;16.656851;odborné vzdělání s maturitou
74;60522321;Střední škola;C00;Bzenecká 4226/23;Židenice;628 00 Brno;62800.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;90.0;Brno-město;CZ0642;40711;Bzenecká;4226/23;49.207487;16.656851;gymnázium
75;559008;Střední škola;C00;Žižkova 980/55;Veveří;616 00 Brno;61600.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;448.0;Brno-město;CZ0642;40711;Žižkova;980/55;49.2074;16.588297;gymnázium
76;567582;Střední škola;C00;Botanická 63/70;Ponava;602 00 Brno;60200.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;94.0;Brno-město;CZ0642;40711;Botanická;63/70;49.210777;16.598481;gymnázium
77;62157884;Střední škola;C00;Kristenova 58/27;Komín;624 00 Brno;62400.0;Brno;Jihomoravský kraj;7941K41;Gymnázium;10;40;100.0;Brno-město;CZ0642;40711;Kristenova;58/27;49.22204;16.555205;gymnázium
78;110025831;Střední škola;C00;Jánská 463/22;Brno-město;602 00 Brno;60200.0;Brno;Jihomoravský kraj;1820M01;Informační technologie;10;40;120.0;Brno-město;CZ0642;40711;Jánská;463/22;49.194931;16.612392;informační technologie
