,Unnamed: 0,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost,cas_cesty
110,5585,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047946,Jihlava,49.386967,15.593135,16.536565473308357,1460
111,5586,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,110250591,Třebíč,49.224915,15.891465,12.29251046821604,983
112,6362,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,367761,Humpolec,49.541758,15.35375,4.205597976868896,466
113,6363,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,72753,Pelhřimov,49.428914,15.22157,19.56403680797122,1578
114,6364,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,72869,Pelhřimov,49.428138,15.219725,19.70722438717756,1625
115,6365,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,107830396,Humpolec,49.541394,15.360692,4.199594537342045,451
116,6366,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102006881,Havlíčkův Brod,49.609084,15.580284,16.039170573253855,1534
117,6367,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102006920,Chotěboř,49.716829,15.672957,27.08655906554636,2379
118,6368,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,130002097,Ledeč nad Sázavou,49.694513,15.278836,14.176181622600714,1387
119,6369,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102018006,Havlíčkův Brod,49.602624,15.579104,15.822717894572996,1389
120,6370,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102006954,Chotěboř,49.718219,15.671713,27.100361881829407,2366
121,6371,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047741,Jihlava,49.397998,15.585825,25.80100586138996,1961
122,6373,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047920,Jihlava,49.397335,15.583685,25.76256555578288,1884
123,6374,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047792,Jihlava,49.398965,15.586577,25.751141581099613,1928
124,6375,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047938,Jihlava,49.39907,15.590673,25.92900759414364,1905
125,6388,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,110030559,Havlíčkův Brod,49.609529,15.575103,15.684585932725234,1441
126,6390,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047946,Jihlava,49.386967,15.593135,27.092022545024847,2136
127,6845,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,2518333,Svitavy,49.75829,16.459034,28.683248012067896,2349
128,6847,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,15034569,Svitavy,49.758426,16.476887,29.81115350355646,2509
129,6849,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,401048,Polička,49.712635,16.267944,14.445963436329627,1460
130,6862,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110010205,Svitavy,49.753343,16.472646,29.275805987101187,2459
131,6867,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110100859,Skuteč,49.840165,15.993545,24.907944742698184,2362
132,7186,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,108027457,Žďár nad Sázavou,49.567574,15.933153,14.708190378964629,1537
133,7188,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943494,Nové Město na Moravě,49.563758,16.072654,7.914737300552663,767
134,7189,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943516,Žďár nad Sázavou,49.565058,15.944092,14.1585452603283,1309
135,7190,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943559,Žďár nad Sázavou,49.565627,15.943057,14.190743362757008,1298
136,7191,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,102943486,Bystřice nad Pernštejnem,49.517715,16.258234,16.282726049170233,1879
137,7192,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110026179,Žďár nad Sázavou,49.566429,15.93214,14.832929424050036,1491
138,7194,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,110031334,Žďár nad Sázavou,49.557691,15.939988,14.841516645795757,1487
139,7981,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047741,Jihlava,49.397998,15.585825,28.33549034834668,2150
140,7983,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047920,Jihlava,49.397335,15.583685,28.50399660462477,2007
141,7984,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047792,Jihlava,49.398965,15.586577,28.255753683000812,2117
142,7985,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047938,Jihlava,49.39907,15.590673,27.96592518875969,2107
143,7986,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,44065663,Třebíč,49.213896,15.885973,28.169731279578485,2267
144,7988,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,559237,Třebíč,49.213958,15.88156,28.2298121810218,2319
145,7989,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,566900,Třebíč,49.222974,15.867134,27.5023440770268,2230
146,7991,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108027457,Žďár nad Sázavou,49.567574,15.933153,11.971602708773586,1152
147,7992,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943508,Velké Meziříčí,49.351674,16.020545,12.899252355510823,1104
148,7993,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943494,Nové Město na Moravě,49.563758,16.072654,13.729302340957323,1236
149,7994,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943516,Žďár nad Sázavou,49.565058,15.944092,11.567393186165154,997
150,7995,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943559,Žďár nad Sázavou,49.565627,15.943057,11.640102484334433,1036
151,7996,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,102943486,Bystřice nad Pernštejnem,49.517715,16.258234,22.062553868178465,1928
152,7997,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110026179,Žďár nad Sázavou,49.566429,15.93214,11.86116014800506,1106
153,7999,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110031334,Žďár nad Sázavou,49.557691,15.939988,10.801637116539144,937
154,8000,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,108047946,Jihlava,49.386967,15.593135,28.165314440113438,2060
155,8001,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110250591,Třebíč,49.224915,15.891465,26.88937651729627,2064
156,8002,CZ0635,596574.0,Radostín nad Oslavou,935.0,49.4619289,15.9651086,110250842,Velká Bíteš,49.291349,16.222598,26.59467876591983,1876
157,8781,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102006881,Havlíčkův Brod,49.609084,15.580284,27.57419396661701,1946
158,8784,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102018006,Havlíčkův Brod,49.602624,15.579104,26.92245206065028,1813
159,8786,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047741,Jihlava,49.397998,15.585825,8.81693535110397,1026
160,8787,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047750,Telč,49.182964,15.44864,28.08914121609491,2929
161,8788,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047920,Jihlava,49.397335,15.583685,8.94312848226024,883
162,8789,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047792,Jihlava,49.398965,15.586577,8.798276526269788,993
163,8790,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047938,Jihlava,49.39907,15.590673,8.521214660203151,983
164,8791,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,44065663,Třebíč,49.213896,15.885973,22.252643266973525,1952
165,8793,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,559237,Třebíč,49.213958,15.88156,22.056623458487568,1929
166,8794,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,566900,Třebíč,49.222974,15.867134,20.630666851372894,1694
167,8796,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108027457,Žďár nad Sázavou,49.567574,15.933153,27.24504249384833,2193
168,8797,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102943508,Velké Meziříčí,49.351674,16.020545,23.206428279567696,1652
169,8799,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102943516,Žďár nad Sázavou,49.565058,15.944092,27.520564679432237,2084
170,8800,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,102943559,Žďár nad Sázavou,49.565627,15.943057,27.52195593616605,2118
171,8802,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110026179,Žďár nad Sázavou,49.566429,15.93214,27.099713265322627,2147
172,8803,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110030559,Havlíčkův Brod,49.609529,15.575103,27.742396967688748,1848
173,8804,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110031334,Žďár nad Sázavou,49.557691,15.939988,26.702172589571248,2020
174,8805,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,108047946,Jihlava,49.386967,15.593135,8.006550709740619,934
175,8806,CZ0632,587478.0,Luka nad Jihlavou,3028.0,49.3740306,15.7019359,110250591,Třebíč,49.224915,15.891465,21.535885483529416,1895
176,8875,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,102403562,Dačice,49.083139,15.428631,23.469547633467684,1788
177,9582,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,367761,Humpolec,49.541758,15.35375,29.388794049404986,2360
178,9583,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,72753,Pelhřimov,49.428914,15.22157,24.35162971759477,1938
179,9584,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,72869,Pelhřimov,49.428138,15.219725,24.40184096481845,1927
180,9585,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,107830396,Humpolec,49.541394,15.360692,29.194338482179035,2284
181,9591,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047741,Jihlava,49.397998,15.585825,14.018883394287784,1328
182,9592,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047750,Telč,49.182964,15.44864,12.290340310664355,978
183,9593,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047920,Jihlava,49.397335,15.583685,13.874387825920875,1185
184,9594,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047792,Jihlava,49.398965,15.586577,14.138886349867766,1295
185,9595,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047938,Jihlava,49.39907,15.590673,14.308345345818257,1325
186,9599,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,566900,Třebíč,49.222974,15.867134,28.890949734571937,2208
187,9610,CZ0632,588032.0,Třešť,5682.0,49.2911919,15.4830063,108047946,Jihlava,49.386967,15.593135,13.307241939648222,1377
188,10251,CZ0631,568988.0,Ledeč nad Sázavou,4951.0,49.6954347,15.2776706,61664553,Vlašim,49.705501,14.897609,27.356586210788667,2163
189,10252,CZ0631,568988.0,Ledeč nad Sázavou,4951.0,49.6954347,15.2776706,61664537,Vlašim,49.696169,14.893379,27.64066923195573,2109
