,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
5568,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047920,Jihlava,49.397335,15.583685,17.70638878243915
5569,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047792,Jihlava,49.398965,15.586577,17.623094466576138
5570,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047938,Jihlava,49.39907,15.590673,17.37880151675621
5571,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,44065663,Třebíč,49.213896,15.885973,13.097292730434495
5572,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,44065485,Moravské Budějovice,49.050817,15.814281,29.388139003082138
5573,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,559237,Třebíč,49.213958,15.88156,12.92872978121343
5574,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,566900,Třebíč,49.222974,15.867134,11.544644617738141
5575,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,55069,Moravské Budějovice,49.053348,15.807336,29.08426392190634
5576,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108027457,Žďár nad Sázavou,49.567574,15.933153,29.89262100455361
5577,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,102943508,Velké Meziříčí,49.351674,16.020545,17.01383322009517
5579,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,102943516,Žďár nad Sázavou,49.565058,15.944092,29.91006669700249
5580,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,102943559,Žďár nad Sázavou,49.565627,15.943057,29.94167899644683
5582,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,110026179,Žďár nad Sázavou,49.566429,15.93214,29.748043573552017
5584,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,110031334,Žďár nad Sázavou,49.557691,15.939988,29.039429924409937
5585,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,108047946,Jihlava,49.386967,15.593135,16.536565473308357
5586,CZ0631,548189.0,Kouty,199.0,49.3147335,15.7926915,110250591,Třebíč,49.224915,15.891465,12.29251046821604
6362,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,367761,Humpolec,49.541758,15.35375,4.205597976868896
6363,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,72753,Pelhřimov,49.428914,15.22157,19.56403680797122
6364,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,72869,Pelhřimov,49.428138,15.219725,19.707224387177558
6365,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,107830396,Humpolec,49.541394,15.360692,4.199594537342045
6366,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102006881,Havlíčkův Brod,49.609084,15.580284,16.039170573253855
6367,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102006920,Chotěboř,49.716829,15.672957,27.086559065546357
6368,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,130002097,Ledeč nad Sázavou,49.694513,15.278836,14.176181622600714
6369,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102018006,Havlíčkův Brod,49.602624,15.579104,15.822717894572996
6370,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,102006954,Chotěboř,49.718219,15.671713,27.100361881829407
6371,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047741,Jihlava,49.397998,15.585825,25.801005861389957
6373,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047920,Jihlava,49.397335,15.583685,25.76256555578288
6374,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047792,Jihlava,49.398965,15.586577,25.751141581099613
6375,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047938,Jihlava,49.39907,15.590673,25.92900759414364
6388,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,110030559,Havlíčkův Brod,49.609529,15.575103,15.684585932725234
6390,CZ0633,547638.0,Budíkov,337.0,49.5791415,15.3626012,108047946,Jihlava,49.386967,15.593135,27.092022545024847
6845,CZ0635,595969.0,Kuklík,199.0,49.6299224,16.1131425,2518333,Svitavy,49.75829,16.459034,28.683248012067896
