,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost
4365,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,103031642,Prostějov,49.471651,17.107419,16.848926967078565
4366,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,103019731,Prostějov,49.474514,17.110269,17.010184781145224
4367,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,47921838,Prostějov,49.474921,17.110188,16.998803734000095
4368,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110012216,Prostějov,49.467909,17.11623,17.541979704858523
4369,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,601799,Olomouc,49.602377,17.238502,28.7893655687302
4370,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,848956,Olomouc,49.578484,17.23574,27.593657772493124
4378,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,61942839,Olomouc,49.590318,17.249762,29.006264409473047
4380,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,848875,Litovel,49.702046,17.073942,27.22164790169523
4381,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,601721,Olomouc,49.5942,17.246044,28.921106664526626
4382,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,601772,Litovel,49.701796,17.080931,27.464749682630607
4385,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,18468012,Olomouc,49.612404,17.224986,28.407979273814853
4407,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110010167,Prostějov,49.47446,17.110847,17.052369664177615
4408,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110030818,Olomouc,49.596365,17.245249,28.96210259748506
4412,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,110300602,Prostějov,49.468929,17.116801,17.564649458841476
4428,CZ0713,589713.0,Malé Hradisko,373.0,49.4933143,16.8765835,87173,Jevíčko,49.631077,16.707874,19.563122278455868
5169,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,103019715,Prostějov,49.473869,17.118552,27.327363993162876
5170,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,103031642,Prostějov,49.471651,17.107419,27.515122511084407
5171,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,103019731,Prostějov,49.474514,17.110269,27.21006830350024
5172,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,47921838,Prostějov,49.474921,17.110188,27.164525235105298
5173,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,110012216,Prostějov,49.467909,17.11623,27.97382339657269
5174,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601799,Olomouc,49.602377,17.238502,16.991851689222372
5175,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,848956,Olomouc,49.578484,17.23574,18.979408193840523
5176,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601781,Olomouc,49.595207,17.262989,18.760603238061694
5177,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601764,Šternberk,49.731998,17.300598,15.540255209863592
5178,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,601756,Uničov,49.767152,17.121444,5.9793580575131235
5179,CZ0712,552186.0,Červenka,1433.0,49.7186878,17.0853904,110300572,Olomouc,49.610705,17.261093,17.438025986778634
