obec,okres
Nelahozeves,Mělník
Neratovice,Mělník
Loucká,Kladno
Královice,Kladno
Nová Ves,Mělník
Bílichov,Kladno
Obříství,Mělník
Ovčáry,Mělník
Hořešovičky,Kladno
Řepín,Mělník
Planá,České Budějovice
Tichov,Zlín
Spomyšl,Mělník
Dobrá Voda u Českých Budějovic,České Budějovice
Střemy,Mělník
Tišice,Mělník
Ostrolovský Újezd,České Budějovice
Dasný,České Budějovice
Úžice,Mělník
Velký Borek,Mělník
Veltrusy,Mělník
Mydlovary,České Budějovice
Vojkovice,Mělník
Vraňany,Mělník
Všestudy,Mělník
Všetaty,Mělník
Vysoká,Mělník
Plav,České Budějovice
Zálezlice,Mělník
Záryby,Praha-východ
Nákří,České Budějovice
Zlosyň,Mělník
Želízy,Mělník
Bošilec,České Budějovice
Mladá Boleslav,Mladá Boleslav
Bakov nad Jizerou,Mladá Boleslav
Neplachov,České Budějovice
Bělá pod Bezdězem,Mladá Boleslav
Benátky nad Jizerou,Mladá Boleslav
Hradce,České Budějovice
Bezno,Mladá Boleslav
Bítouchov,Mladá Boleslav
Úsilné,České Budějovice
Boreč,Mladá Boleslav
Boseň,Mladá Boleslav
Hosty,České Budějovice
Hanušovice,Šumperk
Čakov,České Budějovice
Brodce,Mladá Boleslav
Březina,Mladá Boleslav
Habří,České Budějovice
Březno,Mladá Boleslav
Zvíkov,České Budějovice
Bukovno,Mladá Boleslav
Hvozdec,České Budějovice
Čachovice,Mladá Boleslav
Čistá,Mladá Boleslav
Nová Ves,České Budějovice
Dlouhá Lhota,Mladá Boleslav
Doubravice,České Budějovice
Dobrovice,Mladá Boleslav
Borovnice,České Budějovice
Petříkov,České Budějovice
Dolní Bousov,Mladá Boleslav
Dolní Krupá,Mladá Boleslav
Dolní Slivno,Mladá Boleslav
Vidov,České Budějovice
Domousnice,Mladá Boleslav
Hůry,České Budějovice
Jivno,České Budějovice
Horní Studénky,Šumperk
Dubičné,České Budějovice
Vráto,České Budějovice
Libníč,České Budějovice
Horky nad Jizerou,Mladá Boleslav
Adamov,České Budějovice
Horní Bukovina,Mladá Boleslav
Mokrý Lom,České Budějovice
Hlavatce,České Budějovice
Hrdlořezy,Mladá Boleslav
Komařice,České Budějovice
Hoštejn,Šumperk
Vitín,České Budějovice
Chotýčany,České Budějovice
Vlkov,České Budějovice
Chocnějovice,Mladá Boleslav
Chotětov,Mladá Boleslav
Mazelov,České Budějovice
Drahotěšice,České Budějovice
Jabkenice,Mladá Boleslav
Jivina,Mladá Boleslav
Kamenná,České Budějovice
Pištín,České Budějovice
Katusice,Mladá Boleslav
Zahájí,České Budějovice
Klášter Hradiště nad Jizerou,Mladá Boleslav
Strýčice,České Budějovice
Kněžmost,Mladá Boleslav
